"time","longitude","latitude","mag","Dampak"
"2022-11-21T06:21:10.003Z","107.0946","-6.8531","5.6","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2022-11-19T18:28:30.551Z","108.0179","-7.8043","5","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2022-11-15T17:22:08.199Z","105.4664","-6.9346","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-11-15T17:21:11.096Z","105.3135","-7.0628","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-11-13T15:41:12.135Z","107.4048","-6.4684","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-11-12T13:18:45.660Z","107.3782","-8.1792","5.2","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2022-11-12T12:29:33.173Z","107.2366","-8.0513","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-11-05T21:51:12.905Z","106.9276","-7.6939","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-10-31T15:15:55.387Z","112.4918","-8.6421","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-10-31T03:05:58.882Z","107.0816","-7.3962","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-10-29T01:02:47.908Z","109.2043","-7.9169","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-10-09T10:02:46.959Z","106.1694","-6.8688","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-10-09T03:43:41.289Z","109.0697","-7.9955","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-10-01T18:39:05.637Z","105.8876","-6.8668","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-09-28T04:36:53.115Z","111.1988","-8.5494","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-09-19T16:37:04.457Z","109.6693","-7.7489","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-09-08T03:25:13.564Z","108.2011","-8.1948","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-09-07T03:43:56.387Z","106.9672","-7.8907","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-09-04T10:28:17.829Z","105.9509","-7.3507","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-08-31T22:20:31.343Z","114.512","-6.3699","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-08-25T02:48:49.689Z","106.661","-7.6401","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-08-14T01:46:08.738Z","108.6747","-8.3671","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-08-02T13:14:38.939Z","107.5539","-7.0778","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-07-16T15:05:16.482Z","107.843","-8.0051","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2022-06-30T21:51:04.945Z","105.4488","-6.3234","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
